Condition,Drug Name,Rating,Review,Side Effects,Useful Count
Bronchitis,Dextromethorphan,3.7,Highly recommended,"Dizziness, dry mouth, fatigue",23
Liver Disease,Silymarin,8.7,Caused side effects,"Stomach pain, diarrhea, nausea",343
Kidney Stones,Tamsulosin,5.4,Very effective,"Dizziness, headache, nasal congestion",212
Stroke,Aspirin,6.8,Not effective,"Bleeding risk, stomach pain",409
Heart Disease,Atorvastatin,3.2,Highly recommended,"Muscle pain, liver issues, nausea",89
Alzheimer's,Donepezil,7.7,Caused side effects,"Nausea, insomnia, diarrhea",74
Anemia,Ferrous Sulfate,4.4,Very effective,"Constipation, nausea, black stools",308
Hypothyroidism,Levothyroxine,9.2,Highly recommended,"Weight loss, anxiety, nausea",238
Epilepsy,Carbamazepine,8.9,Somewhat helpful,"Dizziness, fatigue, liver problems",345
Diabetes,Metformin,9.2,Not effective,"Nausea, weight loss, dizziness",450
Hypertension,Lisinopril,6.2,Caused side effects,"Cough, dizziness, low blood pressure",425
Migraine,Sumatriptan,2.4,Highly recommended,"Nausea, dizziness, chest pain",317
Asthma,Albuterol,1.3,Highly recommended,"Tremors, nervousness, fast heartbeat",97
COVID-19,Remdesivir,1.3,Highly recommended,"Nausea, liver problems, rash",210
Flu,Tamiflu,4.2,Very effective,"Nausea, headache, dizziness",318
Depression,Sertraline,9.2,Somewhat helpful,"Drowsiness, weight gain, nausea",124
Arthritis,Ibuprofen,9.5,Very effective,"Stomach pain, nausea, ulcers",197
Pneumonia,Azithromycin,9.8,Not effective,"Diarrhea, stomach pain, nausea",235
Acid Reflux,Omeprazole,9.5,Somewhat helpful,"Stomach pain, bloating, dizziness",456
Tuberculosis,Rifampin,6.1,Very effective,"Liver damage, nausea, dizziness",276
Bronchitis,Dextromethorphan,3.9,Somewhat helpful,"Dizziness, dry mouth, fatigue",174
Liver Disease,Silymarin,2,Somewhat helpful,"Stomach pain, diarrhea, nausea",446
Kidney Stones,Tamsulosin,6.6,Very effective,"Dizziness, headache, nasal congestion",474
Stroke,Aspirin,1.3,Caused side effects,"Bleeding risk, stomach pain",360
Heart Disease,Atorvastatin,7,Very effective,"Muscle pain, liver issues, nausea",481
Alzheimer's,Donepezil,1.4,Highly recommended,"Nausea, insomnia, diarrhea",353
Anemia,Ferrous Sulfate,3.9,Not effective,"Constipation, nausea, black stools",83
Hypothyroidism,Levothyroxine,5,Not effective,"Weight loss, anxiety, nausea",486
Epilepsy,Carbamazepine,5.3,Somewhat helpful,"Dizziness, fatigue, liver problems",285
Diabetes,Metformin,9.9,Highly recommended,"Nausea, weight loss, dizziness",453
Hypertension,Lisinopril,8.2,Highly recommended,"Cough, dizziness, low blood pressure",132
Migraine,Sumatriptan,3.5,Very effective,"Nausea, dizziness, chest pain",492
Asthma,Albuterol,6.1,Highly recommended,"Tremors, nervousness, fast heartbeat",405
COVID-19,Remdesivir,6.8,Somewhat helpful,"Nausea, liver problems, rash",333
Flu,Tamiflu,7.6,Caused side effects,"Nausea, headache, dizziness",140
Depression,Sertraline,4.4,Not effective,"Drowsiness, weight gain, nausea",462
Arthritis,Ibuprofen,4.4,Very effective,"Stomach pain, nausea, ulcers",81
Pneumonia,Azithromycin,5.6,Highly recommended,"Diarrhea, stomach pain, nausea",194
Acid Reflux,Omeprazole,2.8,Highly recommended,"Stomach pain, bloating, dizziness",318
Tuberculosis,Rifampin,5.9,Very effective,"Liver damage, nausea, dizziness",269
Bronchitis,Dextromethorphan,7.4,Highly recommended,"Dizziness, dry mouth, fatigue",98
Liver Disease,Silymarin,8.1,Somewhat helpful,"Stomach pain, diarrhea, nausea",94
Kidney Stones,Tamsulosin,9.3,Very effective,"Dizziness, headache, nasal congestion",397
Stroke,Aspirin,8.9,Very effective,"Bleeding risk, stomach pain",296
Heart Disease,Atorvastatin,7.4,Caused side effects,"Muscle pain, liver issues, nausea",232
Alzheimer's,Donepezil,4.9,Very effective,"Nausea, insomnia, diarrhea",379
Anemia,Ferrous Sulfate,9.2,Highly recommended,"Constipation, nausea, black stools",415
Hypothyroidism,Levothyroxine,2.7,Not effective,"Weight loss, anxiety, nausea",126
Epilepsy,Carbamazepine,1.5,Highly recommended,"Dizziness, fatigue, liver problems",227
Diabetes,Metformin,8.8,Not effective,"Nausea, weight loss, dizziness",372
Hypertension,Lisinopril,5.3,Somewhat helpful,"Cough, dizziness, low blood pressure",316
Migraine,Sumatriptan,5.2,Highly recommended,"Nausea, dizziness, chest pain",135
Asthma,Albuterol,4.1,Not effective,"Tremors, nervousness, fast heartbeat",270
COVID-19,Remdesivir,1.6,Not effective,"Nausea, liver problems, rash",119
Flu,Tamiflu,3.6,Highly recommended,"Nausea, headache, dizziness",269
Depression,Sertraline,4.9,Highly recommended,"Drowsiness, weight gain, nausea",384
Arthritis,Ibuprofen,8.5,Very effective,"Stomach pain, nausea, ulcers",98
Pneumonia,Azithromycin,4.3,Highly recommended,"Diarrhea, stomach pain, nausea",414
Acid Reflux,Omeprazole,1.2,Very effective,"Stomach pain, bloating, dizziness",486
Tuberculosis,Rifampin,5.6,Caused side effects,"Liver damage, nausea, dizziness",268
Bronchitis,Dextromethorphan,2.6,Not effective,"Dizziness, dry mouth, fatigue",396
Liver Disease,Silymarin,5.3,Highly recommended,"Stomach pain, diarrhea, nausea",435
Kidney Stones,Tamsulosin,4.6,Highly recommended,"Dizziness, headache, nasal congestion",73
Stroke,Aspirin,6.3,Caused side effects,"Bleeding risk, stomach pain",358
Heart Disease,Atorvastatin,3.8,Not effective,"Muscle pain, liver issues, nausea",460
Alzheimer's,Donepezil,6.1,Somewhat helpful,"Nausea, insomnia, diarrhea",55
Anemia,Ferrous Sulfate,6.5,Very effective,"Constipation, nausea, black stools",278
Hypothyroidism,Levothyroxine,8.6,Somewhat helpful,"Weight loss, anxiety, nausea",224
Epilepsy,Carbamazepine,2.9,Highly recommended,"Dizziness, fatigue, liver problems",160
Diabetes,Metformin,2.2,Highly recommended,"Nausea, weight loss, dizziness",477
Hypertension,Lisinopril,3.8,Somewhat helpful,"Cough, dizziness, low blood pressure",258
Migraine,Sumatriptan,7.7,Not effective,"Nausea, dizziness, chest pain",112
Asthma,Albuterol,9,Somewhat helpful,"Tremors, nervousness, fast heartbeat",349
COVID-19,Remdesivir,2.4,Highly recommended,"Nausea, liver problems, rash",488
Flu,Tamiflu,7.6,Not effective,"Nausea, headache, dizziness",354
Depression,Sertraline,7.1,Not effective,"Drowsiness, weight gain, nausea",299
Arthritis,Ibuprofen,1.1,Not effective,"Stomach pain, nausea, ulcers",235
Pneumonia,Azithromycin,6.3,Somewhat helpful,"Diarrhea, stomach pain, nausea",395
Acid Reflux,Omeprazole,6.7,Highly recommended,"Stomach pain, bloating, dizziness",18
Tuberculosis,Rifampin,8,Not effective,"Liver damage, nausea, dizziness",395
Bronchitis,Dextromethorphan,5.8,Caused side effects,"Dizziness, dry mouth, fatigue",309
Liver Disease,Silymarin,7.1,Somewhat helpful,"Stomach pain, diarrhea, nausea",466
Kidney Stones,Tamsulosin,3.1,Caused side effects,"Dizziness, headache, nasal congestion",99
Stroke,Aspirin,6.8,Very effective,"Bleeding risk, stomach pain",78
Heart Disease,Atorvastatin,3.7,Caused side effects,"Muscle pain, liver issues, nausea",69
Alzheimer's,Donepezil,1.9,Highly recommended,"Nausea, insomnia, diarrhea",250
Anemia,Ferrous Sulfate,9.8,Highly recommended,"Constipation, nausea, black stools",203
Hypothyroidism,Levothyroxine,2.2,Not effective,"Weight loss, anxiety, nausea",164
Epilepsy,Carbamazepine,7.4,Very effective,"Dizziness, fatigue, liver problems",180
Diabetes,Metformin,2.8,Not effective,"Nausea, weight loss, dizziness",475
Hypertension,Lisinopril,5.9,Highly recommended,"Cough, dizziness, low blood pressure",471
Migraine,Sumatriptan,5.1,Very effective,"Nausea, dizziness, chest pain",231
Asthma,Albuterol,9.4,Caused side effects,"Tremors, nervousness, fast heartbeat",271
COVID-19,Remdesivir,2.2,Somewhat helpful,"Nausea, liver problems, rash",32
Flu,Tamiflu,7.9,Not effective,"Nausea, headache, dizziness",463
Depression,Sertraline,6,Caused side effects,"Drowsiness, weight gain, nausea",167
Arthritis,Ibuprofen,6.4,Very effective,"Stomach pain, nausea, ulcers",216
Pneumonia,Azithromycin,4.3,Very effective,"Diarrhea, stomach pain, nausea",480
Acid Reflux,Omeprazole,8.5,Not effective,"Stomach pain, bloating, dizziness",433
Tuberculosis,Rifampin,1.7,Not effective,"Liver damage, nausea, dizziness",393
Bronchitis,Dextromethorphan,2.5,Caused side effects,"Dizziness, dry mouth, fatigue",80
Liver Disease,Silymarin,2.6,Somewhat helpful,"Stomach pain, diarrhea, nausea",156
Kidney Stones,Tamsulosin,4.2,Caused side effects,"Dizziness, headache, nasal congestion",258
Stroke,Aspirin,6,Caused side effects,"Bleeding risk, stomach pain",28
Heart Disease,Atorvastatin,2.7,Not effective,"Muscle pain, liver issues, nausea",412
Alzheimer's,Donepezil,5.5,Highly recommended,"Nausea, insomnia, diarrhea",296
Anemia,Ferrous Sulfate,2,Somewhat helpful,"Constipation, nausea, black stools",60
Hypothyroidism,Levothyroxine,9.1,Not effective,"Weight loss, anxiety, nausea",428
Epilepsy,Carbamazepine,8.4,Very effective,"Dizziness, fatigue, liver problems",79
Diabetes,Metformin,4.6,Very effective,"Nausea, weight loss, dizziness",59
Hypertension,Lisinopril,7.9,Very effective,"Cough, dizziness, low blood pressure",103
Migraine,Sumatriptan,8.1,Somewhat helpful,"Nausea, dizziness, chest pain",74
Asthma,Albuterol,2.5,Not effective,"Tremors, nervousness, fast heartbeat",443
COVID-19,Remdesivir,4.5,Not effective,"Nausea, liver problems, rash",487
Flu,Tamiflu,4.7,Not effective,"Nausea, headache, dizziness",442
Depression,Sertraline,3.3,Very effective,"Drowsiness, weight gain, nausea",356
Arthritis,Ibuprofen,2.1,Somewhat helpful,"Stomach pain, nausea, ulcers",426
Pneumonia,Azithromycin,9,Not effective,"Diarrhea, stomach pain, nausea",188
Acid Reflux,Omeprazole,1.7,Caused side effects,"Stomach pain, bloating, dizziness",160
Tuberculosis,Rifampin,6.9,Not effective,"Liver damage, nausea, dizziness",443
Bronchitis,Dextromethorphan,8.5,Caused side effects,"Dizziness, dry mouth, fatigue",482
Liver Disease,Silymarin,2.3,Very effective,"Stomach pain, diarrhea, nausea",475
Kidney Stones,Tamsulosin,1.8,Highly recommended,"Dizziness, headache, nasal congestion",413
Stroke,Aspirin,6.2,Very effective,"Bleeding risk, stomach pain",377
Heart Disease,Atorvastatin,9.4,Very effective,"Muscle pain, liver issues, nausea",492
Alzheimer's,Donepezil,6.7,Caused side effects,"Nausea, insomnia, diarrhea",317
Anemia,Ferrous Sulfate,4.5,Caused side effects,"Constipation, nausea, black stools",434
Hypothyroidism,Levothyroxine,5.8,Somewhat helpful,"Weight loss, anxiety, nausea",21
Epilepsy,Carbamazepine,3.9,Highly recommended,"Dizziness, fatigue, liver problems",277
Diabetes,Metformin,2.9,Somewhat helpful,"Nausea, weight loss, dizziness",180
Hypertension,Lisinopril,9.6,Caused side effects,"Cough, dizziness, low blood pressure",234
Migraine,Sumatriptan,5.4,Caused side effects,"Nausea, dizziness, chest pain",268
Asthma,Albuterol,5.3,Caused side effects,"Tremors, nervousness, fast heartbeat",235
COVID-19,Remdesivir,1.7,Not effective,"Nausea, liver problems, rash",179
Flu,Tamiflu,3.2,Not effective,"Nausea, headache, dizziness",204
Depression,Sertraline,5.9,Not effective,"Drowsiness, weight gain, nausea",46
Arthritis,Ibuprofen,9.7,Highly recommended,"Stomach pain, nausea, ulcers",23
Pneumonia,Azithromycin,2.6,Caused side effects,"Diarrhea, stomach pain, nausea",154
Acid Reflux,Omeprazole,6.9,Very effective,"Stomach pain, bloating, dizziness",85
Tuberculosis,Rifampin,5.1,Not effective,"Liver damage, nausea, dizziness",70
Bronchitis,Dextromethorphan,6.3,Caused side effects,"Dizziness, dry mouth, fatigue",404
Liver Disease,Silymarin,4.9,Caused side effects,"Stomach pain, diarrhea, nausea",105
Kidney Stones,Tamsulosin,4.7,Not effective,"Dizziness, headache, nasal congestion",232
Stroke,Aspirin,8,Highly recommended,"Bleeding risk, stomach pain",206
Heart Disease,Atorvastatin,6.4,Somewhat helpful,"Muscle pain, liver issues, nausea",114
Alzheimer's,Donepezil,1.1,Very effective,"Nausea, insomnia, diarrhea",414
Anemia,Ferrous Sulfate,9.9,Very effective,"Constipation, nausea, black stools",222
Hypothyroidism,Levothyroxine,6.3,Very effective,"Weight loss, anxiety, nausea",68
Epilepsy,Carbamazepine,1.7,Highly recommended,"Dizziness, fatigue, liver problems",81
Diabetes,Metformin,9.5,Very effective,"Nausea, weight loss, dizziness",382
Hypertension,Lisinopril,1.3,Not effective,"Cough, dizziness, low blood pressure",239
Migraine,Sumatriptan,9.9,Very effective,"Nausea, dizziness, chest pain",394
Asthma,Albuterol,3.8,Very effective,"Tremors, nervousness, fast heartbeat",147
COVID-19,Remdesivir,8.2,Highly recommended,"Nausea, liver problems, rash",481
Flu,Tamiflu,1.6,Somewhat helpful,"Nausea, headache, dizziness",12
Depression,Sertraline,4.5,Somewhat helpful,"Drowsiness, weight gain, nausea",47
Arthritis,Ibuprofen,4.4,Highly recommended,"Stomach pain, nausea, ulcers",319
Pneumonia,Azithromycin,5.3,Caused side effects,"Diarrhea, stomach pain, nausea",179
Acid Reflux,Omeprazole,7.4,Highly recommended,"Stomach pain, bloating, dizziness",87
Tuberculosis,Rifampin,6.8,Very effective,"Liver damage, nausea, dizziness",109
Bronchitis,Dextromethorphan,8,Highly recommended,"Dizziness, dry mouth, fatigue",26
Liver Disease,Silymarin,6,Not effective,"Stomach pain, diarrhea, nausea",302
Kidney Stones,Tamsulosin,7.6,Highly recommended,"Dizziness, headache, nasal congestion",195
Stroke,Aspirin,7.4,Highly recommended,"Bleeding risk, stomach pain",156
Heart Disease,Atorvastatin,8.9,Caused side effects,"Muscle pain, liver issues, nausea",54
Alzheimer's,Donepezil,4.6,Caused side effects,"Nausea, insomnia, diarrhea",308
Anemia,Ferrous Sulfate,3.3,Not effective,"Constipation, nausea, black stools",34
Hypothyroidism,Levothyroxine,3.4,Very effective,"Weight loss, anxiety, nausea",228
Epilepsy,Carbamazepine,7.7,Highly recommended,"Dizziness, fatigue, liver problems",483
Diabetes,Metformin,9.5,Very effective,"Nausea, weight loss, dizziness",326
Hypertension,Lisinopril,6.4,Highly recommended,"Cough, dizziness, low blood pressure",469
Migraine,Sumatriptan,8.3,Not effective,"Nausea, dizziness, chest pain",46
Asthma,Albuterol,4.4,Caused side effects,"Tremors, nervousness, fast heartbeat",75
COVID-19,Remdesivir,5.4,Very effective,"Nausea, liver problems, rash",163
Flu,Tamiflu,9.6,Very effective,"Nausea, headache, dizziness",125
Depression,Sertraline,4.9,Caused side effects,"Drowsiness, weight gain, nausea",43
Arthritis,Ibuprofen,3.8,Caused side effects,"Stomach pain, nausea, ulcers",85
Pneumonia,Azithromycin,7,Somewhat helpful,"Diarrhea, stomach pain, nausea",470
Acid Reflux,Omeprazole,6.1,Somewhat helpful,"Stomach pain, bloating, dizziness",122
Tuberculosis,Rifampin,2.2,Highly recommended,"Liver damage, nausea, dizziness",84
Bronchitis,Dextromethorphan,2.7,Highly recommended,"Dizziness, dry mouth, fatigue",338
Liver Disease,Silymarin,5,Somewhat helpful,"Stomach pain, diarrhea, nausea",343
Kidney Stones,Tamsulosin,3.6,Not effective,"Dizziness, headache, nasal congestion",308
Stroke,Aspirin,7,Somewhat helpful,"Bleeding risk, stomach pain",171
Heart Disease,Atorvastatin,5.6,Caused side effects,"Muscle pain, liver issues, nausea",28
Alzheimer's,Donepezil,6.1,Not effective,"Nausea, insomnia, diarrhea",73
Anemia,Ferrous Sulfate,5.8,Not effective,"Constipation, nausea, black stools",102
Hypothyroidism,Levothyroxine,9.5,Highly recommended,"Weight loss, anxiety, nausea",251
Epilepsy,Carbamazepine,7.4,Caused side effects,"Dizziness, fatigue, liver problems",207
Diabetes,Metformin,8.8,Somewhat helpful,"Nausea, weight loss, dizziness",203
Hypertension,Lisinopril,9.8,Not effective,"Cough, dizziness, low blood pressure",131
Migraine,Sumatriptan,6.3,Highly recommended,"Nausea, dizziness, chest pain",379
Asthma,Albuterol,7.3,Highly recommended,"Tremors, nervousness, fast heartbeat",435
COVID-19,Remdesivir,2.4,Somewhat helpful,"Nausea, liver problems, rash",370
Flu,Tamiflu,3.3,Highly recommended,"Nausea, headache, dizziness",87
Depression,Sertraline,5,Very effective,"Drowsiness, weight gain, nausea",471
Arthritis,Ibuprofen,5.2,Highly recommended,"Stomach pain, nausea, ulcers",234
Pneumonia,Azithromycin,2.9,Somewhat helpful,"Diarrhea, stomach pain, nausea",198
Acid Reflux,Omeprazole,2.8,Highly recommended,"Stomach pain, bloating, dizziness",26
Tuberculosis,Rifampin,3.6,Not effective,"Liver damage, nausea, dizziness",500
Bronchitis,Dextromethorphan,8.4,Not effective,"Dizziness, dry mouth, fatigue",121
Liver Disease,Silymarin,8.8,Highly recommended,"Stomach pain, diarrhea, nausea",220
Kidney Stones,Tamsulosin,4.1,Highly recommended,"Dizziness, headache, nasal congestion",214
Stroke,Aspirin,5.2,Not effective,"Bleeding risk, stomach pain",173
Heart Disease,Atorvastatin,5.8,Not effective,"Muscle pain, liver issues, nausea",469
Alzheimer's,Donepezil,4.9,Not effective,"Nausea, insomnia, diarrhea",314
Anemia,Ferrous Sulfate,8.8,Somewhat helpful,"Constipation, nausea, black stools",132
Hypothyroidism,Levothyroxine,6.9,Somewhat helpful,"Weight loss, anxiety, nausea",207
Epilepsy,Carbamazepine,9.7,Caused side effects,"Dizziness, fatigue, liver problems",196
Diabetes,Metformin,2.2,Not effective,"Nausea, weight loss, dizziness",413
Hypertension,Lisinopril,1.2,Somewhat helpful,"Cough, dizziness, low blood pressure",163
Migraine,Sumatriptan,2.3,Highly recommended,"Nausea, dizziness, chest pain",464
Asthma,Albuterol,1.8,Very effective,"Tremors, nervousness, fast heartbeat",168
COVID-19,Remdesivir,1.9,Somewhat helpful,"Nausea, liver problems, rash",432
Flu,Tamiflu,3.9,Not effective,"Nausea, headache, dizziness",127
Depression,Sertraline,7.8,Highly recommended,"Drowsiness, weight gain, nausea",453
Arthritis,Ibuprofen,9.5,Highly recommended,"Stomach pain, nausea, ulcers",49
Pneumonia,Azithromycin,8.8,Somewhat helpful,"Diarrhea, stomach pain, nausea",55
Acid Reflux,Omeprazole,2.5,Somewhat helpful,"Stomach pain, bloating, dizziness",213
Tuberculosis,Rifampin,2,Very effective,"Liver damage, nausea, dizziness",483
Bronchitis,Dextromethorphan,1.6,Somewhat helpful,"Dizziness, dry mouth, fatigue",192
Liver Disease,Silymarin,7.5,Highly recommended,"Stomach pain, diarrhea, nausea",387
Kidney Stones,Tamsulosin,5.2,Caused side effects,"Dizziness, headache, nasal congestion",88
Stroke,Aspirin,1.2,Caused side effects,"Bleeding risk, stomach pain",114
Heart Disease,Atorvastatin,3.3,Very effective,"Muscle pain, liver issues, nausea",146
Alzheimer's,Donepezil,4.9,Very effective,"Nausea, insomnia, diarrhea",317
Anemia,Ferrous Sulfate,3.6,Very effective,"Constipation, nausea, black stools",499
Hypothyroidism,Levothyroxine,6.1,Very effective,"Weight loss, anxiety, nausea",397
Epilepsy,Carbamazepine,4,Highly recommended,"Dizziness, fatigue, liver problems",253
Diabetes,Metformin,4.6,Highly recommended,"Nausea, weight loss, dizziness",373
Hypertension,Lisinopril,4.2,Not effective,"Cough, dizziness, low blood pressure",116
Migraine,Sumatriptan,1.2,Caused side effects,"Nausea, dizziness, chest pain",233
Asthma,Albuterol,6.2,Caused side effects,"Tremors, nervousness, fast heartbeat",205
